ticker,date,publisher,title,link
NKE,2026-06-10 13:42:21+00:00,Yahoo Finance,"Nike downgraded, Oscar Health upgraded: Wall Street's top analyst calls",https://finance.yahoo.com/markets/stocks/articles/nike-downgraded-oscar-health-upgraded-134221091.html?.tsrc=rss
TSLA,2026-06-10 13:11:00+00:00,Yahoo Finance,SpaceX IPO: The Devil Is in the Details,https://finance.yahoo.com/m/4c09dd8f-5062-3943-85d8-82e21e8037da/spacex-ipo%3A-the-devil-is-in.html?.tsrc=rss
NKE,2026-06-10 13:07:58+00:00,Yahoo Finance,"Nike Near-Term Catalysts Limited as Turnaround Progress Is Slower Than Expected, RBC Says",https://finance.yahoo.com/markets/stocks/articles/nike-near-term-catalysts-limited-130758852.html?.tsrc=rss
NKE,2026-06-10 12:58:00+00:00,Yahoo Finance,"Nike Could Get a World Cup Boost. But Stay Behind the Touchline, Analysts Say.",https://finance.yahoo.com/m/bd6a5ed1-0666-3a26-9406-64a5016e0cc5/nike-could-get-a-world-cup.html?.tsrc=rss
TSLA,2026-06-10 12:46:03+00:00,Yahoo Finance,Has Tesla solved the self-driving puzzle? This analyst thinks so,https://finance.yahoo.com/markets/stocks/articles/tesla-solved-self-driving-puzzle-124603605.html?.tsrc=rss
TSLA,2026-06-10 12:45:00+00:00,Yahoo Finance,Why everyone’s an energy company now,https://finance.yahoo.com/sectors/energy/articles/why-everyone-energy-company-now-124500249.html?.tsrc=rss
TGT,2026-06-10 12:42:00+00:00,Yahoo Finance,"Melting Forest, a Leading Functional Beverage Brand Powered by Mushroom Adaptogens, Generates Tremendous Success Via National Retail Focus with Recent Securement of Target Seasonal and GNC Nationwide Deals",https://finance.yahoo.com/markets/stocks/articles/melting-forest-leading-functional-beverage-124200557.html?.tsrc=rss
TSLA,2026-06-10 12:38:00+00:00,Yahoo Finance,Centene and UFP Industries have been highlighted as Zacks Bull and Bear of the Day,https://finance.yahoo.com/sectors/healthcare/articles/centene-ufp-industries-highlighted-zacks-123800991.html?.tsrc=rss
TSLA,2026-06-10 12:37:32+00:00,Yahoo Finance,Latest News In Electric Vehicles - Solid-State Battery Development Gains Momentum with New Partnership,https://finance.yahoo.com/sectors/technology/articles/latest-news-electric-vehicles-solid-123732966.html?.tsrc=rss
TSLA,2026-06-10 12:30:00+00:00,Yahoo Finance,SpaceX just got a superchip ahead of its June 12th IPO — but no one’s talking about it. 3 red-hot stocks to watch now,https://finance.yahoo.com/markets/stocks/articles/spacex-just-got-superchip-ahead-123000304.html?.tsrc=rss
SBUX,2026-06-10 12:15:06+00:00,Yahoo Finance,Starbucks Could Be Planning Another Asset Shift,https://finance.yahoo.com/markets/stocks/articles/starbucks-could-planning-another-asset-121506082.html?.tsrc=rss
NKE,2026-06-10 11:59:02+00:00,Yahoo Finance,"Here Are Wednesday’s Top Wall Street Analyst Research Calls: BILL Holdings, Cava Group, Entergy, GlobalFoundries, Hess Midstream, Nike, Pfizer, SharkNinja, STMicroelectronics, and More",https://247wallst.com/investing/2026/06/10/here-are-wednesdays-top-wall-street-analyst-research-calls-bill-holdings-cava-group-entergy-globalfoundries-hess-midstream-nike-pfizer-sharkninja-stmicroelectronics-and-more/?.tsrc=rss
SBUX,2026-06-10 11:40:42+00:00,Yahoo Finance,"Starbucks reviews options for Japan unit, including stake sale – report",https://www.verdictfoodservice.com/news/starbucks-reviews-options-for-japan-unit-including-stake-sale-report/?.tsrc=rss
TSLA,2026-06-10 11:40:41+00:00,Yahoo Finance,Everything you need to know about SpaceX’s stratospheric listing,https://moneyweek.com/investments/tech-stocks/spacex-ipo?.tsrc=rss
TSLA,2026-06-10 11:06:00+00:00,Yahoo Finance,3 Reasons Tesla Stock Is So Volatile This Week,https://finance.yahoo.com/m/b6c01667-c1ac-3539-ab4d-a006a039861d/3-reasons-tesla-stock-is-so.html?.tsrc=rss
NKE,2026-06-10 11:05:00+00:00,Yahoo Finance,Should You Buy Nike Stock Ahead of the World Cup?,https://www.fool.com/investing/2026/06/10/should-you-buy-nike-stock-ahead-of-the-world-cup/?.tsrc=rss
TGT,2026-06-10 11:00:00+00:00,Yahoo Finance,Nuvini Nears Close on Beyondsoft Americas Buyout; Transformative Combination Creates a ~$148M Revenue Global Technology Platform -- 4x Revenue Across 15 Countries,https://finance.yahoo.com/markets/stocks/articles/nuvini-nears-close-beyondsoft-americas-110000325.html?.tsrc=rss
TSLA,2026-06-10 10:00:00+00:00,Yahoo Finance,Rivian begins deliveries of cheaper electric vehicles,https://finance.yahoo.com/sectors/technology/articles/rivian-begins-deliveries-cheaper-electric-100000988.html?.tsrc=rss
SBUX,2026-06-10 09:51:03+00:00,Yahoo Finance,Starbucks Evaluates Sale and IPO Options for Japanese Operations (SBUX),https://investorshub.advfn.com/market-news/article/30075/starbucks-evaluates-sale-and-ipo-options-for-japanese-operations-sbux?.tsrc=rss
TSLA,2026-06-10 09:50:04+00:00,Yahoo Finance,SpaceX IPO Set to Test Strength of the ‘Elon Premium’ as Valuation Nears $1.8 Trillion,https://investorshub.advfn.com/market-news/article/30073/spacex-ipo-set-to-test-strength-of-the-elon-premium-as-valuation-nears-1-8-trillion?.tsrc=rss
TSLA,2026-06-10 09:45:49+00:00,Yahoo Finance,"Scott Galloway Says Tesla, Nvidia, Broadcom Could Get Caught In The Crossfire Of The Space X IPO",https://finance.yahoo.com/markets/stocks/articles/scott-galloway-says-tesla-nvidia-094549954.html?.tsrc=rss
NKE,2026-06-10 09:42:58+00:00,Yahoo Finance,Jim Cramer on NIKE: “The Turn’s Taking Longer Than We’d Like”,https://finance.yahoo.com/markets/stocks/articles/jim-cramer-nike-turn-taking-094258158.html?.tsrc=rss
NKE,2026-06-10 09:42:56+00:00,Yahoo Finance,"Jim Cramer Says “Gap Overall Has Been Doing Better, But Athleta Remains the Weak Link”",https://finance.yahoo.com/markets/stocks/articles/jim-cramer-says-gap-overall-094256283.html?.tsrc=rss
TSLA,2026-06-10 09:26:00+00:00,Yahoo Finance,"Opinion: SpaceX Stock Will Initially Soar, but Its Smoke-and-Mirror Optics Won't Last Beyond 2 Months",https://www.fool.com/investing/2026/06/10/spacex-stock-soar-smoke-and-mirror-optic-wont-last/?.tsrc=rss
TSLA,2026-06-10 09:02:00+00:00,Yahoo Finance,BYD threatens to sue Trump administration over Chinese military claims,https://uk.finance.yahoo.com/news/byd-threatens-sue-trump-administration-090200960.html?.tsrc=rss
NKE,2026-06-10 08:43:14+00:00,Yahoo Finance,Why Is NKE Stock Falling Premarket Today?,https://stocktwits.com/news-articles/markets/equity/why-is-nke-stock-falling-premarket-today/cZ06XGoR7Th?.tsrc=rss
NKE,2026-06-10 07:53:52+00:00,Yahoo Finance,RBC downgrades Nike on slower-than-expected turnaround pace; shares dip,https://finance.yahoo.com/markets/stocks/articles/rbc-downgrades-nike-slower-expected-075352361.html?.tsrc=rss
SBUX,2026-06-10 06:53:58+00:00,Yahoo Finance,SBUX Stock Extends Rally: Starbucks Reportedly Explores Japan Stake Sale As CEO Sees More Global Growth Ahead,https://stocktwits.com/news-articles/markets/equity/sbux-stock-extends-rally-starbucks-japan-stake-sale-ceo-sees-global-growth/cZ069cyR7T7?.tsrc=rss
TSLA,2026-06-10 06:53:31+00:00,Yahoo Finance,RIVN Stock Slides Overnight: Rivian's 'Affordable' R2 Draws Backlash – Buyers Question Value Against Tesla Model Y,https://stocktwits.com/news-articles/markets/equity/rivn-r2-backlash-buyers-question-value-against-tesla-model-y/cZ069cSR7Te?.tsrc=rss
TSLA,2026-06-10 04:27:05+00:00,Yahoo Finance,ProShares Plans 2x SpaceX ETF Launch on Day of Record IPO,https://beincrypto.com/proshares-spacex-etf-spcf-launch/?.tsrc=rss
NKE,2026-06-10 03:15:54+00:00,Yahoo Finance,A Look At Nike (NKE) Valuation As Recent Share Performance Remains Mixed,https://finance.yahoo.com/markets/stocks/articles/look-nike-nke-valuation-recent-031554748.html?.tsrc=rss
TSLA,2026-06-10 02:58:48+00:00,Yahoo Finance,TSLA Stock Hits 1-Month Low Amid SpaceX Merger Jitters — But Analyst Sees Tesla Holders Getting 66% Of Deal Within A Year,https://stocktwits.com/news-articles/markets/equity/tsla-spacex-merger-analyst-tesla-holders-deal-within-a-year/cZ06PtoR7Ry?.tsrc=rss
TSLA,2026-06-10 01:31:42+00:00,Yahoo Finance,"Elon Musk, after DOGE and politics, bets on SpaceX IPO",https://finance.yahoo.com/markets/stocks/articles/elon-musk-doge-politics-bets-013142887.html?.tsrc=rss
NKE,2026-06-10 00:34:42+00:00,Yahoo Finance,Is Lululemon Stock Poised for a Re-Rating?,https://www.trefis.com/articles/601837/lululemon-athletica-stock-strong-cash-flow-poised-for-a-re-rating/2026-06-09?.tsrc=rss
TSLA,2026-06-10 00:05:49+00:00,Yahoo Finance,GM Follows Tesla’s Playbook — Expands Into Energy Storage With Peak Partnership,https://stocktwits.com/news-articles/markets/equity/gm-follows-tesla-playbook-expands-into-energy-storage/cZ06GenR7RM?.tsrc=rss
TSLA,2026-06-09 23:46:00+00:00,Yahoo Finance,Tesla's China Sales Just Snapped a 2-Month Slump With a 22% Jump. Is the Turnaround Real?,https://www.fool.com/investing/2026/06/09/teslas-china-sales-just-snapped-a-2-month-slump-wi/?.tsrc=rss
TSLA,2026-06-09 23:37:43+00:00,Yahoo Finance,Rob Arnott: Will SpaceX Create The Biggest Bubble Ever?,http://www.etf.com/sections/conferences/rob-arnott-will-spacex-create-biggest-bubble-ever?utm_source=yahoo-finance&utm_medium=rss&utm_campaign=yahoo-finance-rss&.tsrc=rss
TGT,2026-06-09 20:15:00+00:00,Yahoo Finance,"Correction: Precision Aerospace & Defense Group Announces Letter of Intent with Leader in Communications, Security and Surveillance Integration Solutions",https://finance.yahoo.com/markets/stocks/articles/correction-precision-aerospace-defense-group-201500058.html?.tsrc=rss
